timestamp,value,hour,dayofweek
2014-02-14 14:30:00,1.732,14,4
2014-02-14 14:35:00,1.732,14,4
2014-02-14 14:40:00,1.96,14,4
2014-02-14 14:45:00,1.732,14,4
2014-02-14 14:50:00,1.706,14,4
2014-02-14 14:55:00,1.734,14,4
2014-02-14 15:00:00,1.766,15,4
2014-02-14 15:05:00,1.766,15,4
2014-02-14 15:10:00,2.026,15,4
2014-02-14 15:15:00,1.7619999999999998,15,4
2014-02-14 15:20:00,1.704,15,4
2014-02-14 15:25:00,1.834,15,4
2014-02-14 15:30:00,1.832,15,4
2014-02-14 15:35:00,1.826,15,4
2014-02-14 15:40:00,1.908,15,4
2014-02-14 15:45:00,1.798,15,4
2014-02-14 15:50:00,1.732,15,4
2014-02-14 15:55:00,1.802,15,4
2014-02-14 16:00:00,1.764,16,4
2014-02-14 16:05:00,1.86,16,4
2014-02-14 16:10:00,1.998,16,4
2014-02-14 16:15:00,1.7719999999999998,16,4
2014-02-14 16:20:00,1.734,16,4
2014-02-14 16:25:00,1.766,16,4
2014-02-14 16:30:00,1.76,16,4
2014-02-14 16:35:00,1.7380000000000002,16,4
2014-02-14 16:40:00,1.93,16,4
2014-02-14 16:45:00,1.8,16,4
2014-02-14 16:50:00,1.732,16,4
2014-02-14 16:55:00,1.766,16,4
2014-02-14 17:00:00,1.798,17,4
2014-02-14 17:05:00,1.8,17,4
2014-02-14 17:10:00,1.99,17,4
2014-02-14 17:15:00,1.7380000000000002,17,4
2014-02-14 17:20:00,1.76,17,4
2014-02-14 17:25:00,1.7719999999999998,17,4
2014-02-14 17:30:00,1.764,17,4
2014-02-14 17:35:00,1.732,17,4
2014-02-14 17:40:00,2.0,17,4
2014-02-14 17:45:00,1.7,17,4
2014-02-14 17:50:00,1.798,17,4
2014-02-14 17:55:00,1.732,17,4
2014-02-14 18:00:00,1.764,18,4
2014-02-14 18:05:00,1.7619999999999998,18,4
2014-02-14 18:10:00,1.97,18,4
2014-02-14 18:15:00,1.7280000000000002,18,4
2014-02-14 18:20:00,1.806,18,4
2014-02-14 18:25:00,1.8,18,4
2014-02-14 18:30:00,1.86,18,4
2014-02-14 18:35:00,1.7380000000000002,18,4
2014-02-14 18:40:00,1.992,18,4
2014-02-14 18:45:00,1.702,18,4
2014-02-14 18:50:00,1.766,18,4
2014-02-14 18:55:00,1.76,18,4
2014-02-14 19:00:00,1.832,19,4
