timestamp,value,hour,dayofweek
2014-02-14 14:27:00,2.296,14,4
2014-02-14 14:32:00,2.144,14,4
2014-02-14 14:37:00,2.274,14,4
2014-02-14 14:42:00,2.066,14,4
2014-02-14 14:47:00,2.35,14,4
2014-02-14 14:52:00,2.136,14,4
2014-02-14 14:57:00,2.366,14,4
2014-02-14 15:02:00,2.252,15,4
2014-02-14 15:07:00,2.4,15,4
2014-02-14 15:12:00,2.18,15,4
2014-02-14 15:17:00,2.352,15,4
2014-02-14 15:22:00,3.434,15,4
2014-02-14 15:27:00,2.43,15,4
2014-02-14 15:32:00,2.0340000000000003,15,4
2014-02-14 15:37:00,2.296,15,4
2014-02-14 15:42:00,2.052,15,4
2014-02-14 15:47:00,2.314,15,4
2014-02-14 15:52:00,2.07,15,4
2014-02-14 15:57:00,2.4,15,4
2014-02-14 16:02:00,2.07,16,4
2014-02-14 16:07:00,3.588,16,4
2014-02-14 16:12:00,2.192,16,4
2014-02-14 16:17:00,2.3,16,4
2014-02-14 16:22:00,2.134,16,4
2014-02-14 16:27:00,2.2840000000000003,16,4
2014-02-14 16:32:00,2.12,16,4
2014-02-14 16:37:00,2.35,16,4
2014-02-14 16:42:00,2.166,16,4
2014-02-14 16:47:00,2.314,16,4
2014-02-14 16:52:00,2.186,16,4
2014-02-14 16:57:00,2.33,16,4
2014-02-14 17:02:00,2.108,17,4
2014-02-14 17:07:00,2.3280000000000003,17,4
2014-02-14 17:12:00,3.434,17,4
2014-02-14 17:17:00,2.424,17,4
2014-02-14 17:22:00,2.158,17,4
2014-02-14 17:27:00,2.342,17,4
2014-02-14 17:32:00,2.056,17,4
2014-02-14 17:37:00,2.376,17,4
2014-02-14 17:42:00,2.106,17,4
2014-02-14 17:47:00,2.408,17,4
2014-02-14 17:52:00,2.156,17,4
2014-02-14 17:57:00,2.464,17,4
2014-02-14 18:02:00,2.224,18,4
2014-02-14 18:07:00,2.428,18,4
2014-02-14 18:12:00,2.234,18,4
2014-02-14 18:17:00,2.408,18,4
2014-02-14 18:22:00,3.372,18,4
2014-02-14 18:27:00,2.318,18,4
2014-02-14 18:32:00,2.166,18,4
2014-02-14 18:37:00,2.386,18,4
2014-02-14 18:42:00,2.138,18,4
2014-02-14 18:47:00,2.336,18,4
2014-02-14 18:52:00,2.23,18,4
2014-02-14 18:57:00,2.452,18,4
2014-02-14 19:02:00,2.15,19,4
2014-02-14 19:07:00,2.386,19,4
2014-02-14 19:12:00,2.234,19,4
2014-02-14 19:17:00,2.732,19,4
2014-02-14 19:22:00,2.9160000000000004,19,4
2014-02-14 19:27:00,2.246,19,4
2014-02-14 19:32:00,2.084,19,4
2014-02-14 19:37:00,2.248,19,4
2014-02-14 19:42:00,2.096,19,4
2014-02-14 19:47:00,2.266,19,4
2014-02-14 19:52:00,2.504,19,4
2014-02-14 19:57:00,52.26600000000001,19,4
2014-02-14 20:02:00,54.806,20,4
2014-02-14 20:07:00,55.736,20,4
2014-02-14 20:12:00,11.058,20,4
2014-02-14 20:17:00,20.216,20,4
2014-02-14 20:22:00,64.23526,20,4
2014-02-14 20:27:00,55.49800000000001,20,4
2014-02-14 20:32:00,25.366,20,4
2014-02-14 20:37:00,6.994,20,4
2014-02-14 20:42:00,5.034,20,4
2014-02-14 20:47:00,5.45,20,4
2014-02-14 20:52:00,5.4,20,4
2014-02-14 20:57:00,5.65,20,4
2014-02-14 21:02:00,7.992000000000001,21,4
2014-02-14 21:07:00,5.42,21,4
2014-02-14 21:12:00,7.802,21,4
2014-02-14 21:17:00,5.666,21,4
2014-02-14 21:22:00,5.164,21,4
2014-02-14 21:27:00,7.2,21,4
2014-02-14 21:32:00,5.082,21,4
2014-02-14 21:37:00,5.546,21,4
2014-02-14 21:42:00,5.282,21,4
2014-02-14 21:47:00,5.566,21,4
2014-02-14 21:52:00,4.002,21,4
2014-02-14 21:57:00,3.512,21,4
2014-02-14 22:02:00,1.98,22,4
2014-02-14 22:07:00,2.278,22,4
2014-02-14 22:12:00,2.016,22,4
2014-02-14 22:17:00,3.524,22,4
2014-02-14 22:22:00,2.0340000000000003,22,4
2014-02-14 22:27:00,2.25,22,4
2014-02-14 22:32:00,2.068,22,4
2014-02-14 22:37:00,2.3040000000000003,22,4
2014-02-14 22:42:00,2.092,22,4
2014-02-14 22:47:00,2.332,22,4
2014-02-14 22:52:00,2.124,22,4
2014-02-14 22:57:00,53.692,22,4
2014-02-14 23:02:00,51.466,23,4
2014-02-14 23:07:00,51.85,23,4
2014-02-14 23:12:00,5.372000000000001,23,4
2014-02-14 23:17:00,3.002,23,4
2014-02-14 23:22:00,3.984,23,4
2014-02-14 23:27:00,3.2460000000000004,23,4
2014-02-14 23:32:00,4.7,23,4
2014-02-14 23:37:00,2.864,23,4
2014-02-14 23:42:00,2.426,23,4
2014-02-14 23:47:00,3.112,23,4
2014-02-14 23:52:00,2.84,23,4
2014-02-14 23:57:00,3.084,23,4
2014-02-15 00:02:00,3.556,0,5
2014-02-15 00:07:00,2.0340000000000003,0,5
2014-02-15 00:12:00,2.064,0,5
2014-02-15 00:17:00,3.534,0,5
2014-02-15 00:22:00,2.27,0,5
2014-02-15 00:27:00,2.292,0,5
2014-02-15 00:32:00,2.09,0,5
2014-02-15 00:37:00,2.234,0,5
2014-02-15 00:42:00,4.73,0,5
2014-02-15 00:47:00,2.634,0,5
2014-02-15 00:52:00,2.766,0,5
2014-02-15 00:57:00,2.7,0,5
2014-02-15 01:02:00,2.728,1,5
2014-02-15 01:07:00,2.616,1,5
2014-02-15 01:12:00,2.474,1,5
2014-02-15 01:17:00,3.79,1,5
2014-02-15 01:22:00,2.458,1,5
2014-02-15 01:27:00,2.422,1,5
